sequence_id,pattern,repetition,index,comparator,adaptive_status,comparator_status,adaptive_actual_generator,comparator_actual_generator,adaptive_residency_condition,comparator_residency_condition,adaptive_following_turn_of_condition,adaptive_correct,comparator_correct,adaptive_minus_comparator_request_wall_seconds,adaptive_minus_comparator_generation_output_tokens_all_calls,adaptive_minus_comparator_classifier_output_tokens,adaptive_minus_comparator_all_backend_output_tokens,adaptive_minus_comparator_final_generator_gpu_allocation_fraction,adaptive_minus_comparator_all_backend_load_duration_seconds,adaptive_minus_comparator_all_backend_prompt_eval_duration_seconds,adaptive_minus_comparator_all_backend_eval_duration_seconds,adaptive_minus_comparator_all_backend_total_duration_seconds,adaptive_minus_comparator_generation_backend_load_duration_seconds,adaptive_minus_comparator_generation_backend_prompt_eval_duration_seconds,adaptive_minus_comparator_generation_backend_eval_duration_seconds,adaptive_minus_comparator_generation_backend_total_duration_seconds,adaptive_minus_comparator_classifier_backend_load_duration_seconds,adaptive_minus_comparator_classifier_backend_prompt_eval_duration_seconds,adaptive_minus_comparator_classifier_backend_eval_duration_seconds,adaptive_minus_comparator_classifier_backend_total_duration_seconds
ro_dddd_1,DDDD,1,1,small,ok,ok,qwen3:1.7b,qwen3:0.6b,cold_start,cold_start,,,,32.055534852,13,0,13,-0.337557996384212,14.218881341000001,0.357858,17.423509,31.997997434,14.218881341000001,0.357858,17.423509,31.997997434,0,0,0,0
ro_dddd_1,DDDD,1,2,small,ok,ok,qwen3:1.7b,qwen3:0.6b,resident_same_model,resident_same_model,cold_start,,,37.640877267,45,0,45,-0.337557996384212,0.0006908010000000013,1.0710540000000002,36.530736,37.633701763,0.0004316900000000002,0.395172,32.897383,33.323585795,0.00025911100000000024,0.675882,3.6333529999999996,4.310115968
ro_dddd_1,DDDD,1,3,small,ok,ok,qwen3:1.7b,qwen3:0.6b,resident_same_model,resident_same_model,resident_same_model,,,14.070571260999998,3,0,3,-0.337557996384212,-0.0012890159999999996,0.7283660000000001,13.323820999999999,14.085794621,-0.0005340899999999997,0.49172499999999997,9.249615,9.753914581,-0.000754926,0.23664100000000002,4.074205999999999,4.33188004
ro_dddd_1,DDDD,1,4,small,ok,ok,qwen3:1.7b,qwen3:0.6b,resident_same_model,resident_same_model,resident_same_model,,,22.555705838999998,-7,0,-7,-0.337557996384212,0.00040497000000000016,0.541647,22.004899,22.551104857,0.00014749199999999994,0.383142,13.252231,13.649806877000001,0.0002574779999999998,0.15850499999999998,8.752668,8.901297979999999
ro_dddd_1,DDDD,1,1,large,ok,ok,qwen3:1.7b,qwen3:1.7b,cold_start,cold_start,,,,-11.516019735,0,0,0,0.023950998151182512,-1.254320578999998,-0.013417000000000012,-10.314091999999999,-11.579970085,-1.254320578999998,-0.013417000000000012,-10.314091999999999,-11.579970085,0,0,0,0
ro_dddd_1,DDDD,1,2,large,ok,ok,qwen3:1.7b,qwen3:1.7b,resident_same_model,resident_same_model,cold_start,,,19.562139603000002,0,0,0,0.023950998151182512,0.0009884370000000009,-0.05718699999999988,19.651751999999995,19.553979250999994,0.0003932240000000002,0.020323000000000035,17.104186,17.128599069999996,0.0005952130000000003,-0.07750999999999997,2.5475659999999998,2.425380181
ro_dddd_1,DDDD,1,3,large,ok,ok,qwen3:1.7b,qwen3:1.7b,resident_same_model,resident_same_model,resident_same_model,,,-2.6202411330000004,0,0,0,0.023950998151182512,-0.000952563,-0.005298000000000025,-2.618780000000001,-2.6188200759999987,0.0001776350000000002,-0.043202000000000074,-1.2111149999999995,-1.2530409309999992,-0.0011301980000000002,0.03790400000000005,-1.4076650000000006,-1.3657791450000003
ro_dddd_1,DDDD,1,4,large,ok,ok,qwen3:1.7b,qwen3:1.7b,resident_same_model,resident_same_model,resident_same_model,,,5.440995076999997,0,0,0,0.023950998151182512,-0.000370694999999999,0.056333999999999995,5.368511000000002,5.418423297,-0.0004649369999999999,0.05484899999999998,1.418557999999999,1.472214600000001,9.424200000000002e-05,0.0014849999999999863,3.9499530000000007,3.9462086969999994
ro_dddd_1,DDDD,1,1,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,cold_start,cold_start,,,,-21.072783293,0,0,0,0.023950998151182512,-3.161501541,-0.09482900000000005,-17.864835000000003,-21.119509106000002,-3.161501541,-0.09482900000000005,-17.864835000000003,-21.119509106000002,0,0,0,0
ro_dddd_1,DDDD,1,2,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,resident_same_model,resident_same_model,cold_start,,,9.675560799000003,0,13,13,0.023950998151182512,0.0027568230000000007,1.178327,8.263955999999997,9.563648131999997,-0.00037693699999999993,-0.006288000000000016,4.258982,4.319298881999998,0.00313376,1.184615,4.004974,5.24434925
